DescAlmacenStock;Proveedor;DMarca;DFamil_N1;DFamil_N2;DFamil_N3;DFamil_N4;DFamil_N5;LVenta;Codigo_Anterior;Cod.Artículo;Artículo;RefProv;PendRecibir;Stock;StockDisp;PendServir;PRec+Stock+Disp+PServ;SumaStocks0;PrecioAdq_Artic;PrecioInvent;PVP_artic;Oferta_Compra;Oferta_Venta;PVPanterior;%MB-Stock;%MB-Stock-Oferta;UltFechaAlbCompra;UltFechaAlbVenta;ArticActivo;Obsoleto;Comprar_Stock;Comprar_Cliente;Clasificación;Ean13;Fijo_Vendedor;Val Stock x PrecioAdq_Artic;Val Stock x PrecioInvent;Val Stock x PVP_Artic
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;ARKET;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6325758-50398;01022001010020;"SILLON RELAX POWER LIFT 2 MOTORES ARKET SX-80507-2S,#ACABADO EN TELA FABRIC K-10-093 GRIS";SX-80507-2S;0;2;2;0;4;No;"176,99";"163,22";379;;;;"0,478901846965699";"0,478901846965699";;;S;S;N;N;LIQUIDACION;;;"353,98";"326,44";758
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;KABUL;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6325759-50399;01022001010021;"SILLON RELAX PUSH BACK KABUL SX-80230,#ACABADO EN TELA DLN 1080B-7 GRIS";SX-80230;0;1;1;0;2;No;"92,81";"92,82";199;;;;"0,435617085427136";"0,435617085427136";;;S;S;N;N;LIQUIDACION;8435676700190;;"92,81";"92,82";199
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;MAX;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;01022001010053;SILLON RELAX CON POUF SX-70091 MAX TELA BAILUN-1 GRIS CLARO;SX-70091;0;0;-2;0;-2;No;"145,87";"148,69";369;;339;369;"0,512425745257452";"0,469277581120944";04/11/2025;06/02/2026;S;N;S;N;IMPORTACION;8435676700046;;0;0;0
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;MULHACEN;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;01022001010032;"SILLON RELAX MANUAL MULHACEN SX-81351,#ACABADO EN TELA BALTIC 748 OCEAN";SX-81351;0;1;1;0;2;No;"100,78";"102,22";219;;209;229;"0,435222831050228";"0,4082";12/03/2025;22/01/2026;S;N;S;N;IMPORTACION;8435676700046;;"100,78";"102,22";219
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;PETER;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6256169-41703;01022001010019;"SILLON RELAX POWER LIFT PETER SX-80000,#ACABADO EN PU MOKA";SX-80000;0;2;2;0;4;No;"193,3";"170,13";559;;209;559;"0,631740071556351";"0,015036842105263";01/08/2024;;S;N;N;N;LIQUIDACION;8435676700114;2;"386,6";"340,26";1118
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;RONDO;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6347054;01022001010050;"SILLON RELAX POWER LIFT Y MASAJE RONDO SX-AF80590S,#ACABADO EN TELA XNR6 13 AZUL";SX-AF80590S;0;0;-1;0;-1;No;"173,64";"168,64";369;;319;369;"0,447007046070461";"0,360331034482759";12/11/2024;30/12/2025;S;N;N;N;LIQUIDACION;8435676700046;;0;0;0
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;RONDO;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6347054;01022001010051;"SILLON RELAX POWER LIFT Y MASAJE RONDO SX-AF80590S,#ACABADO EN TELA XNR6 1 BEIG";SX-AF80590S;0;1;0;0;1;No;"168,64";"168,64";"358,38";;329;"358,38";"0,430620012277471";"0,379773860182371";21/10/2025;23/12/2025;S;N;N;N;LIQUIDACION;8435676700046;;"168,64";"168,64";"358,38"
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;RONDO;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6347054;01022001010052;"SILLON RELAX POWER LIFT Y MASAJE RONDO SX-AF80590S,#ACABADO EN TELA XNR6 7 GRIS OSCURO";SX-AF80590S;0;1;-2;0;-1;No;"152,04";"151,57";329;;299;329;"0,442554103343465";"0,386623076923077";04/11/2025;09/02/2026;S;N;N;N;LIQUIDACION;8435676700046;;"152,04";"151,57";329
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;RONDO;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6347054-51961;01022001010015;"SILLON RELAX POWER LIFT Y MASAJE RONDO SX-AF80590S,#ACABADO EN TELA DLN1080B-8 NEGRO";SX-AF80590S;0;2;1;0;3;No;"149,5";"156,5";369;;;;"0,486815718157182";"0,486815718157182";21/11/2024;01/04/2024;S;N;N;N;LIQUIDACION;8435676700046;;299;313;738
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;RONDO;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;6347054-51962;01022001010016;"SILLON RELAX POWER LIFT Y MASAJE RONDO SX-AF80590S,#ACABADO EN TELA DLN1080B-11 GRIS";SX-AF80590S;0;2;2;0;4;No;"149,5";"156,5";369;;319;369;"0,486815718157182";"0,406379310344828";25/11/2024;29/01/2026;S;N;N;N;LIQUIDACION;8435676700053;;299;313;738
ALMACEN REPARACIONES;ANJI SHENGXING OFFICE FURNITURE CO.;VELETA;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;01022001010034;"SILLON RELAX MANUAL BALANCIN VELETA SX-81349,#ACABADO EN TELA NAVY 19 GRIS";SX-81349;0;1;0;0;1;No;"102,57";"103,59";219;;199;219;"0,427653424657534";"0,370131155778894";04/11/2025;03/02/2026;S;N;S;N;IMPORTACION;8435676700046;;"102,57";"103,59";219
ALMACEN REPARACIONES;ANJI SIKANDIKE HOME SUPPLIES CO.LTD;NINGUNA;00001 - Muebles;00052 - Salón;00001 - Convencional;00003 - Bufets; -;Salón;6331339-50774;01380001010018;"APARADOR GRIS PATA DORADA 150X40X70  ELLESB01,#ACABADO EN ACABADO GRIS PATA DORADA";ELLESB01;0;1;1;0;2;No;"120,39";"120,5";239;;129;289;"0,389937238493724";"-0,130271317829457";;;S;S;N;N;LIQUIDACION;;3;"120,39";"120,5";239
ALMACEN REPARACIONES;ANJI SIKANDIKE HOME SUPPLIES CO.LTD;NINGUNA;00001 - Muebles;00052 - Salón;00002 - Salón comedor;00001 - Muebles tv; -;Salón;6331338-50775;01380001010017;"MUEBLE TV NEGRO Y ROBLE PATA METAL NEGRO 150X40X50  KOLNTU01,#ACABADO EN ACABADO NEGRO Y ROBLE PATA METAL NEGRO";KOLNTU01;0;1;1;0;2;No;"64,89";"64,95";129;;"65,9";159;"0,390779069767442";"-0,192556904400607";;;S;S;N;N;LIQUIDACION;8435676701920;2;"64,89";"64,95";129
ALMACEN REPARACIONES;ANJI SIKANDIKE HOME SUPPLIES CO.LTD;NINGUNA;00001 - Muebles;00056 - Auxiliares;00001 - Mueble Auxiliar;00019 - Comodas; -;Mueble Auxiliar;6331342-50774;01380001010016;"COMODA GRANDE 6 CAJ.GRIS PATA DORADA 120X40X70  ELLECD03,#ACABADO EN ACABADO GRIS PATA DORADA";ELLECD03;0;1;1;0;2;No;"120,39";"120,5";239;;;;"0,389937238493724";"0,389937238493724";;13/03/2024;S;N;N;N;LIQUIDACION;8435676701593;;"120,39";"120,5";239
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000011;"SILLON RELAX POWER LIFT ARGOS 2 MOTORES ,#ACABADO EN AS1128-77 GRIS PERLA";9966 POWER LIFT-2 MOTORES;0;0;-4;0;-4;No;"184,36";"175,22";409;;369;409;"0,481622982885086";"0,425430352303523";05/11/2025;12/02/2026;S;N;S;N;IMPORTACION;;;0;0;0
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000012;"SILLON RELAX POWER LIFT ARGOS 2 MOTORES,#ACABADO EN AS1128-40 BEIGE";9966 POWER LIFT-2 MOTORES;0;1;-2;0;-1;No;"184,36";"175,95";409;;369;409;"0,479463325183374";"0,423036585365854";05/11/2025;10/02/2026;S;N;S;N;IMPORTACION;;;"184,36";"175,95";409
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000013;"SILLON RELAX POWER LIFT ARGOS USB,#ACABADO EN AS1128-40 BEIGE";9966 POWER LIFT-USB;0;0;-2;0;-2;No;"136,57";"129,99";299;;269;299;"0,473953511705686";"0,415286617100372";05/11/2025;11/02/2026;S;N;N;N;LIQUIDACION;;;0;0;0
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000014;SILLON RELAX POWER LIFT ARGOS USB #ACABADO EN AS1128-77 GRIS PERLA;9966 POWER LIFT-USB;0;1;0;0;1;No;"136,57";"131,96";299;;269;299;"0,46598127090301";"0,406425278810409";05/11/2025;06/02/2026;S;N;N;N;LIQUIDACION;;;"136,57";"131,96";299
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000015;"SILLON RELAX MANUAL ARGOS ,#ACABADO EN AS1128-40 BEIGE";9966 MANUAL;0;0;-2;0;-2;No;"102,43";"98,83";219;;;;"0,45395296803653";"0,45395296803653";09/02/2026;23/01/2026;S;N;S;N;IMPORTACION;;;0;0;0
ALMACEN REPARACIONES;"ANJI XINYUE FURNITURE CO., LTD";ARGOS;00001 - Muebles;00057 - Asientos;00002 - Sofás;00002 - Butacas; -;Asientos;;04495000000028;"SILLON RELAX MANUAL ARGOS, #ACABADO EN AS1128-77 GRIS PERLA";9966 MANUAL;0;1;1;0;2;No;"96,76";"99,4";219;;;;"0,450803652968037";"0,450803652968037";02/02/2026;02/02/2026;S;N;S;N;IMPORTACION;;;"96,76";"99,4";219
